uri,prefLabel,altLabels
http://data.europa.eu/esco/occupation/4543bf7b-8ffb-4ade-88b9-58da34366f04,ICT capacity planner,ICT capability manager|ICT capacity planners|ICT performance manager|IT capability planner|IT capacity planner
http://data.europa.eu/esco/occupation/9729c0f3-c9bc-482e-ac59-a82ec3b67ba3,data centre operator,data center administrator|data center operator|data centre administrator|data centre employee|data centre operators
http://data.europa.eu/esco/occupation/50af07f0-7a75-424e-a66d-5a9deea10f4c,ICT accessibility tester,accessibility test specialist|accessibility testers|usability tester
http://data.europa.eu/esco/occupation/e0b544dd-b621-4126-a55e-054af25c6ea0,ICT network architect,network architects|network designer
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,CISO|ICT security administrators|IT security administrator|information security administrator|network security administrator|system security administrator
http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,web content manager,content curator|content specialist|digital content|web content administrators|web content curatorspecialist|web content specialist
http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300,ICT system administrator,ICT sysadmin|ICT sysadmins|IT system administrator|IT systems administrator|enterprise administrator|network administrator|server administrator|sysadmin|system and network administrator|system and networks administrator
http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst,battery data analyst|battery materials data analyst|battery module performance data analyst|business data analyst|data storage analyst|data warehouse analyst|data warehousing analyst|mine electrification data analyst
http://data.europa.eu/esco/occupation/061f56c6-36eb-4aa7-b5ef-98b7a569da1c,performance video operator,projection operator|live video operator|video and graphics operator|video and graphics technician|video operator|video projection operator|video projection technician|visual and graphic operator|visual projection operator|visuals operator
http://data.europa.eu/esco/occupation/6e92d4b5-3167-4166-802f-da7753951a31,ICT research consultant,ICT research advisor|ICT research consultants|ICT research specialist|IT research advisor|IT research consultant|IT research specialist
http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,ethical hacker,ICT security tester|cybersecurity specialist|cybersecurity tester|network security tester|offensive cybersecurity expert|penetration tester|pentester|red team expert|system security tester|vulnerability analyst
http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,digital forensics expert,ICT forensics expert|computer forensics consultant|computer forensics expert|computer forensics investigator|cyber forensics expert|cybersecurity analyst|cybersecurity and forensic specialist|digital forensic expert|digital forensics analyst|digital forensics experts|digital forensics specialist|information forensics expert
http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,cyber incident responder,ICT security advisor|ICT security architect|ICT security consultant|ICT security engineer|IT security advisor|IT security consultant|IT security expert|SOC Analyst|consultant in ICT security activities|cyber crisis expert|cyber defender|cyber fighter|cyber incident handler|cybersecurity SIEM manager|incident response engineer|information communications technology security consultant|information technology security consultant|security architect|security operation analyst|security operations center analyst
http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,cybersecurity risk manager,cybersecurity specialist|ICT security chief|ICT security manager|ICT technical security expert|IT security chief|IT security manager|cyber risk manager|cybersecurity impact analyst|cybersecurity risk assessor|cybersecurity risk assurance consultant|information security manager|information security risk analyst|security coordinator
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,database administrator,DBA|data administrator|data base administrator|data base administrators|data manager|database administrators|database configurator|database manager
http://data.europa.eu/esco/occupation/3d190639-90f8-4402-b1b3-a104a17e0d67,database integrator,data base integrator|data base integrators|data integrator|database development specialist|database integrators
http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,computer scientist,ICT research scientist|ICT researcher|ICT science researcher|ICT scientist|IT research scientist|IT researcher|IT science researcher|IT scientist|computers scientist
http://data.europa.eu/esco/occupation/790c8dca-f624-4bdc-ac16-27bc13ead188,sound designer,audio designer|audio engineer & sound artist|audio engineer and sound artist|audio engineer and sound designer|composer & sound designer|composer and sound designer|music and sound artist|music composer & sound designer|music composer and sound designer|sound artist and audio engineer|sound designer & audio engineer|sound designer & composer|sound designer & engineer|sound designer & music composer|sound designer and audio engineer|sound designer and composer|sound designer and engineer|sound designer and music composer|sound engineer & designer|sound engineer and designer
http://data.europa.eu/esco/occupation/0da2ee5c-b480-498f-97a8-a292a0f4c54c,sound operator,sound mixer|audio board operator|audio operator|sound audio technician|sound board operator|sound board technician
http://data.europa.eu/esco/occupation/6e5ceba0-df96-465f-adb4-2e06ae715d43,numerical tool and process control programmer,numerical process control operator|numerical process control programmer|numerical process control set up operator|numerical process control supervisor|numerical process control tool setting operator|numerical tool and process control programer|numerical tool l programme setter|numerical tool machine operator|numerical tool machine set up operator|numerical tool maker|numerical tool programmer|numerical tool setter|numerical tool setting operator
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,data expert|data research scientist|electromobility data scientist|research data scientist
http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02,embedded systems software developer,embedded software developerl embedded systems engineer|embedded software programmer|embedded system software developer|embedded system software programmer|embedded systems designer|embedded systems software developers
http://data.europa.eu/esco/occupation/d84bf1d7-ef99-40c4-a407-3791d6531b44,telecommunications engineering technician,communication administrator|communications administrator|telecom administrator|telecommunication administrator|telecommunications administrator|telecommunications administrators|telecoms administrator
http://data.europa.eu/esco/occupation/10469d70-78a3-4650-9e29-d04de13c62c1,embedded system designer,battery controls engineer|embedded software developer|embedded system developer|embedded system programmer|embedded systems designers|embedded systems developer|embedded systems engineer|embedded systems programmer
http://data.europa.eu/esco/occupation/456ed487-02f2-45c9-9213-d0fd8e9a069d,ICT application configurator,app configurator|application configurators|application software configurator|software application configurator
http://data.europa.eu/esco/occupation/276ba420-ef09-4a0e-b215-2c2e2f80ad28,chief ICT security officer,CISO|information security administrator|information security manager|ICT security officer|ISO|IT security officer|chief ICT security officers|chief information security officer|cybersecurity programme director|head IT security officer|head of IT security|head of information security|information security officer
http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,ICT technician,ICT engineer|IT assistant|IT engineer|IT officer|IT technician|computer operator|information systems technician
http://data.europa.eu/esco/occupation/9ebaf3f0-0be0-47b7-b2b1-b3b04130fa81,digital games developer,computer games developer|digital game developer|digital games developers|games programmer|video games developer|virtual games developer
http://data.europa.eu/esco/occupation/a44a1dc5-be08-4840-8bd5-770c4ac1ca6d,ICT security technician,ICT security officer|IT security officer|DevSecOps engineer|ICT security technicians|IT security technician|cybersecurity developer|cybersecurity implementer|cybersecurity solutions expert|development and operations security engineer|information security implement
http://data.europa.eu/esco/occupation/812c217d-32b7-4f6a-9faf-993d3577ac7f,knowledge engineer,information engineer|knowledge engineers|knowledge officer|linked data engineer|taxonomist
http://data.europa.eu/esco/occupation/07e60525-1aad-4099-aaf3-2c7014c92212,integration engineer,ICT integration engineers|IT integration engineer|software integration engineer|system integration engineer
http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b,software tester,application software tester|application tester|module tester|soft tester|software application tester|software testers|software testing specialist|tester|unit tester
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,artificial intelligence engineer,linked data engineer|AI system designer|ICT intelligent systems designer|artificial intelligence designer|designer of intelligent systems|intelligent system designer|intelligent systems designers|intelligent systems developer|intelligent systems engineer|machine learning engineer|machine learning systems designer|semantic technologies engineer
http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c,mobile application developer,app coder|app developer|app programmer|cell phone app developer|mobile app developer|mobile app specialist
http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,software architect,application architect|software architects|software designer
http://data.europa.eu/esco/occupation/e1c72b5f-4c5c-487c-a6df-e84b64a51dae,ICT system architect,ICT system architects|ICT systems architect|ICT systems architects|IT system architect|IT systems architect|information systems architect|solution architect|systems architect
http://data.europa.eu/esco/occupation/dc8ef7da-d2c0-4474-96a0-6d0385eeec1e,webmaster,e-commerce technician|web administrator|web technician|webmasters|website administrator
http://data.europa.eu/esco/occupation/bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b,industrial mobile devices software developer,handheld programmer|handheld software developer|industrial mobile devices software coder|industrial mobile devices software programmer
http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb,enterprise architect,enterprise architects|enterprise architecture manager|enterprise designer|enterprise developer
http://data.europa.eu/esco/occupation/a7c1d23d-aeca-4bee-9a08-5993ed98b135,ICT system developer,ICT system developers|ICT systems developer|ICT systems developers|IT system developer|chief ICT system developer|component developer|system developer|system software developer|systems developer|systems programmer
http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7,ICT application developer,app software developer|application designer|application developer|application software developers|application software engineer|software programmer
http://data.europa.eu/esco/occupation/81480b40-a318-47f3-9b2c-56b69ed67d95,ICT network administrator,network administrators|network manager|network specialist|network support|networks administrator
http://data.europa.eu/esco/occupation/98c3d8f8-e3a8-49b7-9e58-236f25a6f6a0,system configurator,ICT system configurator|IT system configurator|system configuration professional|system configurators|system setup professional|systems configurator
http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d,ICT network engineer,network configurator|network developer|network engineers|networks designer|networks developer|networks engineer
http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890,user interface designer,UI designer|accessibility designer|user interface designers
http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,ICT system analyst,ICT system analysts|ICT systems analyst|ICT systems analysts|IT system analyst|IT systems analyst|network analyst|system analyst|systems analyst
http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,user interface developer,UI developer|UI developers|UI programmer|front end developer|user interface developers|user interface engineer
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,web developer,web application developer|web developers|web engineer|web programmer|web specialist
http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,software developer,application developer|application programmer|application software developer|applications engineer|battery software developer|developer of software|electric vehicle software development engineer|programmer|soft developer|software developers|software engineer|software specialist|solutions developer
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,analyst of software|application analyst|programmer analyst|programming analyst|software analysts|software requirement analyst|software requirements analyst
http://data.europa.eu/esco/occupation/8d9ec84d-cf2d-4179-87bc-335cda54a427,database designer,data architect|data base designer|data base designers|data model designer|database architect|database design engineer|database designers|secure could-edge computing system architect
http://data.europa.eu/esco/occupation/1562c7a3-c7d9-419d-b9b6-db26610bcf84,data warehouse designer,data warehouse architect|data warehouse developer
http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d,database developer,data base developer|data base developers|database coder|database design specialist|database developers|database development engineer|database programmer
