uri,prefLabel,altLabels
http://data.europa.eu/esco/skill/48d73e89-b231-4bb4-9f3c-5c900a1e37a1,manage personal professional development in sport,continue personal and professional development|manage personal and professional development in sports|manage professional personal development in sport|pursue knowledge regarding sports development
http://data.europa.eu/esco/skill/49f6c9f1-49a6-4737-8bb0-0f6ab3558211,clothing and footwear products,a clothing and footwear product|clothes and footwear products|clothing and footwear brands|clothing and footwear commodities|clothing and footwear goods|clothing and footwear merchandise|clothing and footwear product|clothing and footwear stock
http://data.europa.eu/esco/skill/4ded4e71-84a7-46b0-9c20-95d9b5b440bf,comply with policies for trolley bus driving,adhere to regulations for trolley bus driving|adhere to trolley bus driving codes|adhere to trolley bus driving procedures|comply with regulations for trolley bus driving|comply with trolley bus driving policies|comply with trolley bus driving regulations|follow policies for trolley bus driving|observe procedures for trolley bus driving|observe trolley bus driving policies
http://data.europa.eu/esco/skill/532bcdca-a889-4dea-8f7f-4e03d8cfd0d2,aircraft mechanics,aeroplane mechanics|airplane mechanics|helicopter mechanics|mechanics of aircrafts
http://data.europa.eu/esco/skill/5a234b3b-63b4-482f-b481-a1ff9d95bbf8,office equipment,equipment found in offices|equipment in an office|office apparatus|office devices|office machinery|office machines
http://data.europa.eu/esco/skill/5cfe62b1-98fe-43ed-93b9-902f2e434eb0,tobacco products,a tobacco product|cigar tobacco|cigarette tobacco|products of tobacco|rolling tobacco|tobacco leaf|tobacco product
http://data.europa.eu/esco/skill/5f95f9c9-30ee-4735-ab63-8045ec8f78f8,agricultural equipment,agricultural apparatus|agricultural devices|agricultural machinery|agricultural machines|equipment for agricultural use
http://data.europa.eu/esco/skill/6542601c-92ee-4a03-abd9-fde0635727a2,respond to electrical power contingencies,electrical power contingencies managing|electrical power contingencies responding|electrical power contingency managing|electrical power contingency responding|manage electrical power contingencies|managing electrical power contingencies|responding to electrical power contingencies
http://data.europa.eu/esco/skill/676fdcdf-c4ae-4bdd-af92-444392b06a31,dairy and edible oil products,dairy and edible oil brands|dairy and edible oil commodities|dairy and edible oil goods|dairy and edible oil merchandise|dairy and edible oil product|dairy and edible oil stock|dairy and edible oils product
http://data.europa.eu/esco/skill/68823c35-3033-45df-931c-7b01646006c8,"fish, crustacean and mollusc products","fish, crustacean and mollusc brands|fish, crustacean and mollusc commodities|fish, crustacean and mollusc goods|fish, crustacean and mollusc merchandise|fish, crustacean and mollusc stock|fish, crustacean and mollusk products"
http://data.europa.eu/esco/skill/6975d035-4523-4a5d-89ea-e414a473e077,"sugar, chocolate and sugar confectionery products","sugar, chocolate and sugar confectionery brands|sugar, chocolate and sugar confectionery commodities|sugar, chocolate and sugar confectionery goods|sugar, chocolate and sugar confectionery producing|sugar, chocolate and sugar confectionery production|sugar, chocolate and sugar confectionery stock"
http://data.europa.eu/esco/skill/6b29b77f-7265-4dae-8309-78077f99ab60,assist in the production of laboratory documentation,assist in documenting laboratory procedures|assist in production of laboratory documentation|help with the production of laboratory documentation
http://data.europa.eu/esco/skill/6e250b10-f197-4045-b9c5-53837b044554,"textile products, textile semi-finished products and raw materials","textile products, textile semi-finished products and raw materials fabricating|textile products, textile semi-finished products and raw materials finishing|textile products, textile semi-finished products and raw materials manufacturing|textile products, textile semi-finished products and raw materials production"
http://data.europa.eu/esco/skill/70da7d81-87f5-4724-b72d-c0d79c1d5281,provide fitness information,give details on fitness|pass on fitness facts|provide information on fitness
http://data.europa.eu/esco/skill/748d0a23-dce6-4e50-a4cd-834a41f3fffe,observe record keeping standards in chiropractics,ensure good standard of record keeping in chiropractics|examine record keeping standards in chiropractics|guaranatee record keeping standards in chiropractics|monitor patient records in chiropractics|monitor record keeping standards in chiropractics|observe record keeping criteria in chiropractics|observe record keeping norms in chiropractics|observe record keeping principles in chiropractics|observe standards in keeping records of chiropractic patients
http://data.europa.eu/esco/skill/834c3caf-077c-4d38-883f-1baa2e470efa,"hides, skins and leather products","hides, skins and leather brands|hides, skins and leather commodities|hides, skins and leather goods|hides, skins and leather merchandise|hides, skins and leather stock"
http://data.europa.eu/esco/skill/884588fb-19b4-400e-aebd-83a2fff51be1,reproduce documents,copy documents|create document copies|make document copies|manufacture document copies|reproduce document|reproducing documents
http://data.europa.eu/esco/skill/89f88666-e7cf-4659-9f6f-3a6ff65789b7,"furniture, carpet and lighting equipment products","furniture, carpet and lighting equipment brands|furniture, carpet and lighting equipment commodities|furniture, carpet and lighting equipment goods|furniture, carpet and lighting equipment merchandise|furniture, carpet and lighting equipment production|furniture, carpet and lighting equipment stock"
http://data.europa.eu/esco/skill/8bb4c55b-4ae7-4272-9410-e06e57b13e0a,provide emergency training,deliver fire safety training|deliver first aid training|delivering fire safety training|delivering first aid training|emergency training provision|fire safety training delivery|first aid training delivery|providing emergency training|providing of emergency training|provision of emergency training
http://data.europa.eu/esco/skill/8df3dcf5-8ede-4e03-a69c-c8cf01eff429,meat and meat products,meat and meat brands|meat and meat commodities|meat and meat merchandise|meat and meat product|meat and meat stock|meats and meats products|products of meat and meat
http://data.europa.eu/esco/skill/922032c3-9dfa-45dd-9bcd-f14dedf4709e,beverage products,a beverage product|beverage brands|beverage commodities|beverage goods|beverage merchandise|beverage product|beverage production|beverage stock
http://data.europa.eu/esco/skill/9babbf24-1523-4b74-9770-c07c447920cc,fruit and vegetable products,fruit and vegetable brands|fruit and vegetable commodities|fruit and vegetable goods|fruit and vegetable merchandise|fruit and vegetable product|fruit and vegetable stock|fruits and vegetables products
http://data.europa.eu/esco/skill/a9528a4e-1b25-4439-9b97-9df5795d4e10,provide psychological health assessment strategies,design psychological health assessment strategies|offer psychological health assessment strategies|provide mental health assessment strategies|provide psychological assessment techniques
http://data.europa.eu/esco/skill/af0bbc31-b54d-4e8d-82b1-2e91a1115523,mechanics of trains,mechanical aspects of train operation|mechanical composition of trains|mechanical features of trains|mechanical functions of trains|mechanical operation of trains|mechanical principles of train operation|principles of train mechanics|train mechanical features|train mechanical functions|train mechanics|train operating mechanics
http://data.europa.eu/esco/skill/bafb5f43-4ae7-471b-a20d-d98012313f6c,provide information on trade-in options,administer information on trade-in options|arrange information on trade-in options|contribute information on trade-in options|furnish information on trade-in options|provide information on a trade-in option|providing information on trade-in options|provision of information on trade-in options
http://data.europa.eu/esco/skill/be3d585f-f511-40ee-8d74-4ed2066e3180,develop technological improvement strategies,develop technological improvement strategies
http://data.europa.eu/esco/skill/c50dc8c9-24b2-47c8-9e1a-894521f5b248,watches and jewellery products,a watch and jewellery product|watch and jewellery products|watches and jewellery|watches and jewellery brands|watches and jewellery commodities|watches and jewellery goods|watches and jewellery merchandise|watches and jewellery stock|watches and jewelry products
http://data.europa.eu/esco/skill/c5e3bd7d-670b-4579-beab-a2c66e72e9b5,quality standards applicable to aquaculture products,coverage of quality standards applicable to aquaculture products|coverage of quality systems applicable to aquaculture products|features of quality standards applicable to aquaculture products|features of quality systems applicable to aquaculture products|scope of quality standards applicable to aquaculture products|scope of quality systems applicable to aquaculture products
http://data.europa.eu/esco/skill/c93527bc-6668-4c34-b1a1-47bcaf97c5ed,perfume and cosmetic products,perfume and cosmetic brands|perfume and cosmetic commodities|perfume and cosmetic goods|perfume and cosmetic merchandise|perfume and cosmetic product|perfume and cosmetic stock|perfume and cosmetics products|perfumes and cosmetic products
http://data.europa.eu/esco/skill/d0d3c335-5a7b-4856-a940-2057ea2c9e7b,maintain treatment records,keep treatment records|keep treatment reports|maintain accurate treatment records|maintain treatment reports
http://data.europa.eu/esco/skill/d5b63d02-08a1-4d56-8204-7c7ab66d9311,brewhouse processes,brewhouse measures|brewhouse mechanisms|brewhouse procedures|brewhouse process|brewhouse systems|processes of a brewhouse
http://data.europa.eu/esco/skill/d648838c-2ccb-45bd-a4c3-1cf19f0b8733,"coffee, tea, cocoa and spice products","coffee, tea, cocoa and spice brands|coffee, tea, cocoa and spice commodities|coffee, tea, cocoa and spice goods|coffee, tea, cocoa and spice merchandise|coffee, tea, cocoa and spice producing|coffee, tea, cocoa and spice product|coffee, tea, cocoa and spice production|coffee, tea, cocoa and spice stock"
http://data.europa.eu/esco/skill/d86d8dd0-786e-4ae6-b2aa-174d63d187d8,musical instruments materials,musical instrument material|musical instrument materials|musical instruments components|musical instruments equipment|musical instruments goods|musical instruments material|musical instruments objects
http://data.europa.eu/esco/skill/d8d3622a-aaae-4d5a-9382-8969aad4c11f,assure quality of tobacco leaves,affirm quality of tobacco crops|assure quality of tobacco crops|assuring quality of tobacco crops|confirm quality of tobacco crops|ensure quality of tobacco crops|guarantee quality of tobacco crops
http://data.europa.eu/esco/skill/e38215f6-be98-420c-8724-ba2e77881895,household products,a household product|household brands|household commodities|household goods|household merchandise|household product|household stock
http://data.europa.eu/esco/skill/e54a3ed7-465f-432b-8940-2aeabeaa449e,footwear quality,footwear quality assurance|footwear quality control|footwear quality standards|quality assurance and standards for footwear
http://data.europa.eu/esco/skill/edb029e7-43a8-45a9-b37c-00ff730a1092,vehicle manufacturing process,car assembly process|car manufacturing process|car production process|vehicle assembly|vehicle installation|vehicle manufacturing processes|vehicle production process|vehicles manufacturing process
http://data.europa.eu/esco/skill/efd50a11-ccd9-424c-a5af-c6b4bb5ef006,live animal products,live animal brands|live animal commodities|live animal goods|live animal merchandise|live animal product|live animal stock|living animal product|living animal products
http://data.europa.eu/esco/skill/f2704539-8b55-4164-8911-e550a1f9c47f,flower and plant products,flower and plant brands|flower and plant commodities|flower and plant parts|flower and plant producing|flower and plant production|flower and plant stock|production of flowers and plants
http://data.europa.eu/esco/skill/fa96f4e2-71ef-45b7-9bc7-823ad398cbc4,maintain administrative records in the veterinary office,conduct veterinary administration record keeping|create administrative records in the veterinary office|create veterinary administration records|keep administrative records in the veterinary office|keep veterinary administration records|maintain administrative records in veterinary office|maintain veterinary administration records|perform administrative record keeping in veterinary office|produce and update administrative records in veterinary office|produce and update veterinary administration records
http://data.europa.eu/esco/skill/fc39a239-f574-4109-b280-cf1f06966bda,develop zoonotic disease control policies,develop control strategies against zoonotic and foodborne diseases|develop zoonotic and foodborne disease control policies|develop zoonotic disease control guidelines|develop zoonotic disease control strategies|elaborate zoonoses control policy|elaborate zoonotic disease control policies|establish zoonoses control policy|establish zoonotic disease control policies
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,enterprise risk management,ERM|enterprise risk management process
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,develop terminology databases,compile terminology databases|define terminology databases prepare terminology databases|draw up terminology databases|populate terminology databases|write terminology databases
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,purchase supplies,acquire supplies|buy supplies|gain supplies|pay for supplies|purchase DIY supplies|purchase of supplies|purchasing supplies|supplies purchasing
http://data.europa.eu/esco/skill/03589d0d-a6f0-4d68-b5eb-dafbc6833efe,write leaflets,compose leaflets|compose pamphlets|create leaflets|create pamphlets|draft leaflets|draft pamphlets|produce leaflets|produce pamphlets
http://data.europa.eu/esco/skill/03aa85d2-9a67-455f-b901-595e685afdd2,keep sheet records,conserve sheet records|keep sheet record|keeping sheet records|maintain sheet records|preserve sheet records|save sheet records
http://data.europa.eu/esco/skill/05ab4b2c-7389-4495-9355-ba0a69effe4f,provide pre-treatment information,give information pre-treatment|provide information before treatment|provide pre-treatment advice|supply pre-treatment information
http://data.europa.eu/esco/skill/07090471-265a-48ec-b744-72b357e801ed,handle children's problems,diagnose children's problems|diagnose mental disorders in children|manage a child's problems|manage child's problem|manage children's problems|manage problems of children|manage problems of children's psychological development
http://data.europa.eu/esco/skill/077fb5d5-a9a2-4e27-b1b0-fe3149ba3da0,provide medicines information,advise on medicines|inform on medicines|provide medicines advice|provide medicines education
http://data.europa.eu/esco/skill/0c0488b3-fca5-4deb-865b-8dc605c3d909,sales argumentation,argumentation of sales|sale argumentation|sales pitches|sales promotions|sales strategies|sales techniques
http://data.europa.eu/esco/skill/0ce96a86-7a28-4c44-9e59-591375310894,collect weather-related data,assemble weather-related data|collecting weather-related data|compile weather-related data|gather weather-related data
http://data.europa.eu/esco/skill/0efad746-55ba-4586-b481-ebfb1f7a8488,apply export strategies,administer export strategies|apply an export strategy|applying an export strategy|employ export strategies|export strategy application|implement export strategies|utilise export strategies
http://data.europa.eu/esco/skill/0f850624-ae28-47c2-ab80-484290a96aea,metal and metal ore products,a metal and metal ore product|metal and metal ore brands|metal and metal ore commodities|metal and metal ore goods|metal and metal ore merchandise|metal and metal ore product|metal and metal ore production|metal and metal ore stock
http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,answer inquiries in written form|reply to inquiries in written form|respond to inquiry in written form|respond to written inquiries|responding to inquiries in written form
http://data.europa.eu/esco/skill/1039d92f-9c38-4b04-957c-5b00eb40f113,conform to alcohol regulations,alcohol regulations conforming|conform to alcohol legal standards and specifications|conform with alcohol legal standards and specifications|conform with alcohol regulations|conforming to alcohol legal standards and specifications|conforming to alcohol regulations|conforming with alcohol legal standards and specifications|conforming with alcohol regulations
http://data.europa.eu/esco/skill/10d57d01-c5cc-4e50-967e-4ccaada0787d,estimate costs in farm,calculate costs in farming|calculate costs on farm|calculating costs in farm|calculating costs in farming|estimate costs in farming|estimating costs in farming|estimating costs on farm|farm cost calculating|farm cost estimating|farm costs calculating|farm costs estimating
http://data.europa.eu/esco/skill/10dd298f-3fb7-4306-9ecc-45905877ab61,produce content for tourism brochures,create details and images for tourism material|develop contents for travel brochures|produce content for tourist brochures|produce tourism brochure contents
http://data.europa.eu/esco/skill/138aecdf-1b02-4ffc-81c4-0a0461b4f3c0,conduct metallurgical structural analysis,analyse new metal products|analysing new metal products|conduct analysis of metallurgical structure|conduct of analysis of metallurgical structure|conducting analysis of metallurgical structure|conducting metallurgical structural analysis|conducting of metallurgical structural analysis|metallurgical structural analysis conduct|test metal products|testing new metal products
http://data.europa.eu/esco/skill/1553446e-ee05-435a-91a6-acfe7f848432,advise policy makers in healthcare,give recommendations to policy makers in healthcare|make recommendations to health care policy makers|make recommendations to healthcare policy makers|present recommendations to policy makers in healthcare|present research findings to policy makers in healthcare
http://data.europa.eu/esco/skill/15e87c59-dd3f-4b72-a404-367cb0047eae,perform strategic planning in the food industry,complete strategic planning in the food industry|implement strategic planning in the food industry|perform a strategic planning process in the food industry|perform strategic planning in food industries|strategic planning in the food industry operation|undertake strategic planning in the food industry
http://data.europa.eu/esco/skill/1677a5fe-a0f9-4a3f-862d-91c0a2ff1983,cope with manufacturing deadlines pressure,cope with a tight manufacturing schedule|cope with deadlines pressure in manufacturing|coping with a tight manufacturing schedule|coping with manufacturing deadlines pressure|deal with a tight manufacturing schedule|dealing with a tight manufacturing schedule
http://data.europa.eu/esco/skill/180a1099-978f-494a-aee0-3e5ae5c2f381,develop aquaculture strategies,aquaculture strategies developing|aquaculture strategies writing|develop strategies for aquaculture|developing aquaculture strategies|developing strategies for aquaculture|write aquaculture strategies|write strategies for aquaculture|writing aquaculture strategies|writing strategies for aquaculture
http://data.europa.eu/esco/skill/189777b9-6e95-4f76-b8db-f8e0f0477bc6,develop irrigation strategies,develop strategies for irrigation|developing irrigation strategies|developing strategies for irrigation|irrigation strategies developing|irrigation strategies writing|write irrigation strategies|write strategies for irrigation|writing irrigation strategies|writing strategies for irrigation
http://data.europa.eu/esco/skill/1c388c1a-2a84-4377-a99a-860323eeff1d,provide visitor information,provide information to visitors|provide tourist information to visitors|provide visitors with information|provide visitors with information requested
http://data.europa.eu/esco/skill/1d38a162-61a0-42e8-83ca-47ce3e881032,develop a coaching style,create a coaching style|determine coaching style|develop a style for coaching|develop a style to coach
http://data.europa.eu/esco/skill/1d6d32ea-9753-4069-b6b3-98cd6a1195c1,maintain veterinary clinical records,create and maintain veterinary clinical records|keep veterinary clinical records|maintain clinical records for animals|maintain clinical veterinary records|maintain veterinary clinical record
http://data.europa.eu/esco/skill/1e2e8415-0a45-466b-ba7b-25c0e72538c1,perform a feasibility study on district heating and cooling,carry out feasibility study on district heating and cooling|do a feasibility study on district heating and cooling|perform a feasibility study on DHC
http://data.europa.eu/esco/skill/1e6230dc-c749-4ff1-943c-5bac017f37de,schedule gaming tables,allocate gaming tables|schedule tables for gaming|schedule use of gaming tables|scheduling of gaming tables
http://data.europa.eu/esco/skill/1ec21d0b-eb6d-43bf-80b0-f4bf7fc6012c,set up pyrotechnical equipment,assemble equipment for fireworks|put up pyrotechnic equipment|set up equipment for pyrotechnics
http://data.europa.eu/esco/skill/1ee7d019-9226-4844-925f-a8a8c4db3444,coordinate airport environmental policies,coordinate environmental policies in airport|direct airport environmental policies|ensure effective implementation of environmental policies in airport|ensure implementation of airport environmental policies|ensure policies to mitigate environmental impact of operations are implemented in airports|implement airport environmental impact mitigation policies|implement procedures to mitigate airport impact on environment|integrate airport environmental policies|integrate environmental policies of airports|manage airport environmental policies|manage environmental policies of airports|organise airport environmental policies
http://data.europa.eu/esco/skill/1f6eac42-e5aa-4fa7-a75d-a4eea12c618e,disseminate internal communications,circulate internal communications|disseminate communications internally|disseminate internal communication|disseminating internal communications|distribute internal communications
http://data.europa.eu/esco/skill/1f93c055-43a9-4593-a8c7-4cde2ebf2081,test dental instruments,assess dental instruments|assessing dental instruments|dental instrument assessing|dental instrument testing|dental instruments assessing|dental instruments testing|testing a dental instrument|testing dental instruments
http://data.europa.eu/esco/skill/210827e3-3129-45a2-8683-70399f3f561f,order supplies,order of supplies|order supply|place a product order|select supplies to be ordered
http://data.europa.eu/esco/skill/215d64d0-a698-4508-b1b4-3d8a56b3ce9e,develop forestry strategies,develop forestry plans|developing forestry plans|developing forestry strategies|forestry plan developing|forestry plans developing|forestry strategies developing|forestry strategy developing
http://data.europa.eu/esco/skill/2179e0fd-7431-41a3-bbf4-76451c615ce2,inspect electrical supplies,check electrical supplies|checking electrical supplies|electrical supplies checking|electrical supplies inspecting|electrical supply checking|electrical supply inspecting|inspecting electrical supplies
http://data.europa.eu/esco/skill/233be639-bdb5-4099-ab40-96d537d6c1f3,ensure compliance with safety legislation,ensure compliance with safety laws|ensure compliance with safety laws and programmes|ensure compliance with safety regulations|ensure safety legislation compliance|ensuring compliance with safety legislation|ensuring of compliance with safety legislation|ensuring safety legislation compliance|implement mine safety programmes
http://data.europa.eu/esco/skill/2601a471-0688-4caf-9402-a0b881a1be79,set standards for handling valuables,develop guidelines for protection of guests' valuables|develop procedures for safekeeping of valuables|set handling standards for valuables|set standards to handle valuables
http://data.europa.eu/esco/skill/263782c1-c65d-458a-ae67-8526ccf214f5,manage agricultural staff,agricultural staff managing|agricultural staff recruiting|managing agricultural staff|recruit agricultural staff|recruiting agricultural staff
http://data.europa.eu/esco/skill/264f48f3-7d00-4ecc-9ba7-d472b5b4f1d7,perform market research in footwear,carry out footwear market research|carry out market research in footwear|carry out market research in footwear industry|footwear market research|perform forecasting and market research|perform forecasting and market research in footwear|perform market research in footwear industry
http://data.europa.eu/esco/skill/27910071-8dcd-40e5-9b58-7db56e9d6d2c,forecast human population trends,analyse human population trends|forecasting human population trend|forecasting of human population trends|human population trend forecasting|predict human population trends|project human population trends
http://data.europa.eu/esco/skill/27ce49c9-cec8-451d-ac6f-818394aef827,maintain personal development in psychotherapy,apply personal development techniques as a psychotherapist|develop and monitor personal qualities as psychotherapist|maintain psychotherapeutical personal development|uphold personal development in psychotherapy
http://data.europa.eu/esco/skill/2832382f-fa74-439f-a85e-6ff2d03c9cd0,take pharmaceutical inventory,take inventory of pharmaceuticals|take pharmaceutical stock|take stock of pharmaceuticals
http://data.europa.eu/esco/skill/2aed5d29-15c3-44ba-bb5c-80750a815b3c,follow up orders for customers,adhere to orders for customers|adopt orders for customers|follow up an order for customers|follow up orders for a customer|following up orders for customers|keep orders for customers|observe orders for customers
http://data.europa.eu/esco/skill/2aff15fb-1c24-42b5-89ca-17696df25370,chemical products,a chemical product|chemical brands|chemical commodities|chemical goods|chemical merchandise|chemical product|chemical production|chemical stock
http://data.europa.eu/esco/skill/2ce49caf-8d84-4aa1-b0be-5d4d8de0532a,unload supplies,offload supplies|remove delivered products|unload supply|unloading supplies
http://data.europa.eu/esco/skill/2d1d7366-8fa4-43df-a033-cbdd337b9468,tune a projector,focus imaging of projector|set up and tune projector|tuning a projector
http://data.europa.eu/esco/skill/2da73273-67ce-4a5d-b890-491491bac073,implement short term objectives,administer short term objectives|execute short term objectives|exploit short term objectives|implement a short term objective|implementing short term objectives|utilise short term objectives
http://data.europa.eu/esco/skill/2e040fb0-66b9-4529-bec6-466472b60773,archive healthcare users' records,archive health data of healthcare users|archive health records of healthcare users|archive healthcare users' data|store health records of healthcare users|store healthcare users' records
http://data.europa.eu/esco/skill/307ffd2d-8fb3-43ff-8ad8-4052382f8f83,report on overall management of a business,detail overall management of a business|give an account of overall management of a business|outline overall management of a business|report on management of a business|report on overall business management|report on overall management of a company|reporting on overall management of a business
http://data.europa.eu/esco/skill/31599ac3-e03c-42f8-8f08-b549af8234f2,draft procurement technical specifications,draft bid requirements|draft technical specifications
http://data.europa.eu/esco/skill/3195829f-34e5-4509-a26c-eb8c7fbb1056,design training programmes for individuals and animals,design and evaluate training programmes for individuals and animals|design training curricula for individuals and animals|design training curriculum for people and animals|design training programmes for humans and animals|design training programmes for people and animals|design training programs for individuals and animals|design training schedule for individual and animal|design training schedules for individuals and animals|develop training programme for people and animals|develop training programmes for individuals and animals|elaborate a training programme for individuals and animals|elaborate training programmes for individuals and animals|establish training program for human and animal|establish training programmes for individuals and animals
http://data.europa.eu/esco/skill/33c01497-8264-4773-81dd-6096ad512f02,health care occupation-specific ethics,ethic standards in medicine|ethical obligations in occupation|ethical standards in health care|health care occupation specific ethics|health care occupation-specific moral rules and principles|health care occupation-specific moral standards|medical ethics|moral rules and principles in health care
http://data.europa.eu/esco/skill/350c932d-f9b3-4adb-a5cc-cd5cff4a1912,provide tourism related information,provide information related to tourism|provide tourist information orally|provide tourist related information|provide travel information
http://data.europa.eu/esco/skill/36b04285-6b9d-47e6-bcf9-e6a9ac2612aa,manage school budget,coordinate school budget|manage school budgeting|manages school budget|managing school budget|oversee school budget|supervise school budget
http://data.europa.eu/esco/skill/398304c5-6073-4968-afc7-394fbd837d74,measure effectiveness of the service provided,develop recommendations for improving quality|measure effectiveness of services provided|measure effectiveness of the services provided|measure the quality of the service provided
http://data.europa.eu/esco/skill/3a876d1c-3dd5-45ed-9a27-47cdbee46ce7,ensure information transparency,assure information openness|assure information transparency|establish information openness|establish information transparency|provide information openness|provide information transparency|secure information openness|secure information transparency
http://data.europa.eu/esco/skill/3ac73c5e-2b4a-46c4-8096-2b5d2af00591,position cross slide of a lathe,fix cross slide of a lathe|fix milling machine cross slide|locate cross slide of a lathe|locate milling machine cross slide|post cross slide of a lathe|post milling machine cross slide|situate cross slide of a lathe|situate milling machine cross slide
http://data.europa.eu/esco/skill/3b092965-98d5-4678-adc3-6493ba2c00c8,evaluate own dance abilities,develop self-awareness on dance abilities|evaluate dance abilities|evaluate dance potential and limitations|evaluate own abilities on dance
http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c,maintain relationship with suppliers,control relationship with suppliers|maintain a relationship with suppliers|maintain relationship with a supplier|maintaining relationship with suppliers|manage relationship with suppliers|preserve relationship with suppliers|sustain relationship with suppliers
http://data.europa.eu/esco/skill/3e04e39d-9eb6-4167-ad2d-e3413f647e4e,organise business documents,collate business documents|collect and sort business documents|organising business documents|organize business documents
http://data.europa.eu/esco/skill/3ec9208f-991d-4253-a8b2-50d538bae017,estimate harvest costs,estimate harvesting costs|estimating costs of harvest|estimating harvest costs|estimating harvesting costs|forecast harvest costs|forecast harvesting costs|forecasting costs of harvest|forecasting harvest costs|forecasting harvesting costs|harvest costs estimating|harvest costs forecasting|harvesting costs estimating|harvesting costs forecasting
http://data.europa.eu/esco/skill/41168850-6e3f-4fc8-afd5-9337f0c66190,assess environmental impact in aquaculture operations,aquaculture environmental impact assessing|aquaculture environmental impact monitoring|assessing aquaculture environmental impact|monitor aquaculture environmental impact|monitoring aquaculture environmental impact
http://data.europa.eu/esco/skill/42c25baf-ccb3-47d9-a872-bb2ceb615538,operate precision measuring equipment,handle calibrated analytical instruments|handle precision measuring equipment|run calibrated analytical instruments|run precision measuring equipment|use calibrated analytical instruments|use precision measuring equipment|utilise calibrated analytical instruments|utilise precision measuring equipment
http://data.europa.eu/esco/skill/43bc5d6e-e15e-4b54-b772-5c60b26415d7,ensure legal gaming,ensure gaming is legal|ensure gaming rules are respected|ensure legal games|guarantee gaming compliance
